War Machine v0 Backtest — 60 gün
Tarih: 2026-04-08 19:22
Coinler: BTCUSDT, ETHUSDT, BNBUSDT, SOLUSDT, XRPUSDT, ADAUSDT, AVAXUSDT, DOGEUSDT, LTCUSDT, DOTUSDT

Trades: 198
Win Rate: 37.9%
PnL: $-480.42
Profit Factor: 0.73

Trade Detayları:
----------------------------------------------------------------------------------------------------
03/25 12:00 | AVAXUSDT     | $    9.6700 → $    9.5700 | PnL=$  -12.34 | TIME-EXIT    | 3c
03/26 04:00 | SOLUSDT      | $   89.1000 → $   87.3386 | PnL=$  -21.77 | STOP-LOSS    | 2c
03/26 08:00 | LTCUSDT      | $   54.6100 → $   54.5900 | PnL=$   -2.37 | TIME-EXIT    | 3c
03/30 08:00 | DOGEUSDT     | $    0.0929 → $    0.0911 | PnL=$  -21.66 | STOP-LOSS    | 2c
03/31 00:00 | ETHUSDT      | $ 2066.7100 → $ 2027.6343 | PnL=$  -20.91 | STOP-LOSS    | 2c
03/31 12:00 | ETHUSDT      | $ 2054.8500 → $ 2102.9100 | PnL=$  +21.39 | TIME-EXIT    | 3c
04/01 00:00 | BTCUSDT      | $68170.6700 → $68918.5200 | PnL=$   +8.97 | TIME-EXIT    | 3c
04/01 04:00 | DOGEUSDT     | $    0.0933 → $    0.0929 | PnL=$   -6.40 | TIME-EXIT    | 3c
04/01 08:00 | LTCUSDT      | $   54.0400 → $   53.8200 | PnL=$   -6.07 | TIME-EXIT    | 3c
04/01 12:00 | XRPUSDT      | $    1.3575 → $    1.3357 | PnL=$  -18.07 | STOP-LOSS    | 3c
04/02 00:00 | BTCUSDT      | $66576.2500 → $66852.9100 | PnL=$   +2.16 | TIME-EXIT    | 3c
04/02 00:00 | ETHUSDT      | $ 2056.3300 → $ 2059.6000 | PnL=$   -0.41 | TIME-EXIT    | 3c
04/02 00:00 | DOGEUSDT     | $    0.0901 → $    0.0903 | PnL=$   +0.11 | TIME-EXIT    | 3c
04/04 16:00 | DOGEUSDT     | $    0.0923 → $    0.0912 | PnL=$  -13.84 | STOP-LOSS    | 3c
04/05 20:00 | ETHUSDT      | $ 2110.1700 → $ 2154.4529 | PnL=$  +18.99 | TAKE-PROFIT  | 3c
04/05 20:00 | BNBUSDT      | $  601.5000 → $  605.3600 | PnL=$   +4.42 | TIME-EXIT    | 3c
04/05 20:00 | ADAUSDT      | $    0.2508 → $    0.2585 | PnL=$  +28.87 | TAKE-PROFIT  | 1c
04/05 20:00 | AVAXUSDT     | $    9.0600 → $    9.3271 | PnL=$  +27.49 | TAKE-PROFIT  | 1c
04/05 20:00 | LTCUSDT      | $   54.1100 → $   54.3500 | PnL=$   +2.44 | TIME-EXIT    | 3c
04/06 00:00 | SOLUSDT      | $   82.1100 → $   81.0629 | PnL=$  -14.75 | STOP-LOSS    | 1c
04/06 00:00 | DOGEUSDT     | $    0.0923 → $    0.0928 | PnL=$   +3.52 | TIME-EXIT    | 3c
04/06 04:00 | XRPUSDT      | $    1.3443 → $    1.3415 | PnL=$   -4.08 | TIME-EXIT    | 3c
04/06 04:00 | DOTUSDT      | $    1.2710 → $    1.3093 | PnL=$  +28.12 | TAKE-PROFIT  | 2c
04/06 08:00 | SOLUSDT      | $   82.4500 → $   81.2821 | PnL=$  -16.16 | STOP-LOSS    | 2c
04/06 12:00 | LTCUSDT      | $   54.2900 → $   53.7929 | PnL=$  -11.16 | STOP-LOSS    | 2c
04/06 16:00 | BNBUSDT      | $  606.6700 → $  600.8171 | PnL=$  -11.65 | STOP-LOSS    | 1c
04/06 16:00 | DOTUSDT      | $    1.2700 → $    1.2464 | PnL=$  -20.62 | STOP-LOSS    | 1c
04/06 20:00 | BTCUSDT      | $68853.6600 → $68345.7500 | PnL=$   -9.38 | TIME-EXIT    | 3c
04/06 20:00 | ETHUSDT      | $ 2107.1600 → $ 2089.5800 | PnL=$  -10.34 | TIME-EXIT    | 3c
04/06 20:00 | SOLUSDT      | $   80.0300 → $   79.2100 | PnL=$  -12.25 | TIME-EXIT    | 3c
04/06 20:00 | AVAXUSDT     | $    8.9100 → $    8.7036 | PnL=$  -25.17 | STOP-LOSS    | 1c
04/06 20:00 | DOGEUSDT     | $    0.0906 → $    0.0905 | PnL=$   -2.88 | TIME-EXIT    | 3c
04/07 00:00 | ADAUSDT      | $    0.2452 → $    0.2406 | PnL=$  -20.88 | STOP-LOSS    | 3c
04/07 08:00 | BNBUSDT      | $  597.1000 → $  611.1600 | PnL=$  +21.55 | TAKE-PROFIT  | 3c
04/07 08:00 | LTCUSDT      | $   53.2200 → $   54.3786 | PnL=$  +19.77 | TAKE-PROFIT  | 3c
04/07 12:00 | BTCUSDT      | $68168.1000 → $70065.4886 | PnL=$  +25.83 | TAKE-PROFIT  | 2c
04/07 12:00 | ETHUSDT      | $ 2080.0600 → $ 2156.7900 | PnL=$  +34.89 | TAKE-PROFIT  | 2c
04/08 00:00 | BNBUSDT      | $  613.2900 → $  604.6843 | PnL=$  -16.03 | STOP-LOSS    | 3c
04/08 00:00 | XRPUSDT      | $    1.3700 → $    1.3549 | PnL=$  -13.02 | TIME-EXIT    | 3c
04/08 00:00 | LTCUSDT      | $   55.0000 → $   54.6400 | PnL=$   -8.55 | TIME-EXIT    | 3c
04/08 08:00 | DOGEUSDT     | $    0.0943 → $    0.0928 | PnL=$  -17.53 | STOP-LOSS    | 1c
